k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
4524,1,4,matrix,72.49734756768405,65.28937420384672,75.18686806830634,0,4,90.16975524261304,1.0995666666666668,72.21421535907649
4567,1,4,aggregate,72.1700807114574,64.26161584672207,87.18111390324857,0,4,100.00000015139156,1.2812910344827542,67.45864010904822
4567,1,4,matrix,67.1124081259726,7.681211762844634,100.0,2,4,100.00000015531606,1.281291034482745,87.37309902031303
4691,4,1,aggregate,20.06675892208256,20.06675892208256,20.06675892208256,0,1,58.2111527681745,1.5666333333333342,-37.316024982791554
4691,4,1,matrix,20.066780558786764,20.066780558786764,20.066780558786764,0,1,58.21115276820001,1.5666333333333338,-37.315987813386336
4693,3,2,aggregate,46.33683394607681,21.562734965470785,71.11093292668284,0,2,78.68453962656832,2.3229366666666653,18.82236656819588
4693,3,2,matrix,42.48263712253326,6.092239252648672e-08,84.96527418414414,1,2,78.68454369425359,2.3229366666666533,49.15473285479971
4713,4,1,aggregate,19.4382277221812,19.4382277221812,19.4382277221812,0,1,58.27699990950802,3.450333333333336,-38.23939530674958
4713,4,1,matrix,19.438138351256207,19.438138351256207,19.438138351256207,0,1,58.2769999095172,3.4503333333333344,-38.23954866212547
4735,4,1,aggregate,19.89444332311532,19.89444332311532,19.89444332311532,0,1,64.13526019602547,0.2440666666666666,-24.90096154914941
4735,4,1,matrix,19.894466343459083,19.894466343459083,19.894466343459083,0,1,64.13526019594391,0.2440666666666666,-24.900925655879696
4810,4,1,aggregate,19.412178612551727,19.412178612551727,19.412178612551727,0,1,58.27885556692956,2.850066666666592,-38.27969098483096
4810,4,1,matrix,19.41221565840514,19.41221565840514,19.41221565840514,0,1,58.27885556696393,2.8500666666666703,-38.279627418210886
4811,4,1,aggregate,19.411741575042893,19.411741575042893,19.411741575042893,0,1,58.27847828069954,0.7796333333367779,-38.28133610002329
4811,4,1,matrix,19.411704372464875,19.411704372464875,19.411704372464875,0,1,58.278478280535104,0.7796333333333327,-38.28139993567989
4814,3,2,aggregate,44.417761763656685,44.0353001494144,44.800223377898966,0,2,69.80801769660677,0.2463379310344788,20.162909391919367
4814,3,2,matrix,45.49734236724407,27.20267048390702,63.79201425058112,0,2,69.80800671958157,0.2463379310344839,32.23421127297074
